lang,variant,id,f0_ref_mean,f0_syn_mean,F1_ref,F1_syn,jitter_ref,jitter_syn,prec_ASR,rec_ASR,f1_ASR,pesq
en,original,en_krishna_095,133.7746110310132,135.33876797314025,512.7195802528703,698.1398656640005,0.03533297965817017,0.03137101375961514,0.0,1.0,0.0,1.0281764268875122
en,original,en_krishna_096,127.67594132090079,119.86029352592162,552.279461981822,676.2040160927635,0.03056498691890327,0.029472244410629254,0.0,1.0,0.0,1.0413984060287476
en,original,en_krishna_097,132.59091224317615,142.9543094773523,481.36662892591096,633.7392263179438,0.03615414773340959,0.02692223182466795,0.0,0.0,0.0,1.0357977151870728
en,original,en_krishna_098,129.26647975731456,129.0188201229526,537.4970028554991,657.3748100684817,0.03535990792866624,0.025765215896875974,0.0,0.0,0.0,1.0273972749710083
en,original,en_krishna_099,132.7992151979423,124.16145684676331,622.4913719440193,770.1206004731896,0.04306240145044284,0.03165871060370197,0.0,0.0,0.0,1.0354063510894775
en,pure,en_krishna_001,130.0152201991487,139.42983908331223,511.22566637623044,590.3121074576004,0.027119396059852953,0.032498537752170105,0.0,1.0,0.0,1.0475919246673584
en,pure,en_krishna_002,137.3587478605036,111.19651046367751,526.4686427787362,620.6507693051724,0.030604899820627706,0.050627206202652146,1.0,0.0,0.0,1.0291950702667236
en,pure,en_krishna_003,137.98638114411776,130.66130965168085,533.0937409393122,494.4358415445543,0.037621467953278004,0.03574956666363291,0.0,0.0,0.0,1.1819376945495605
en,pure,en_krishna_004,127.85485646709286,139.23212201316275,563.3712670244288,653.8220767230633,0.04412936929059398,0.0224535957347076,0.0,1.0,0.0,1.0244404077529907
en,pure,en_krishna_005,126.34138229921462,144.10219068201948,534.9461458153238,522.7298061912691,0.03734334229800612,0.03069170403295087,0.0,1.0,0.0,1.1277294158935547
en,pure,en_krishna_006,134.20818072648194,131.8749834169011,542.3555580531537,583.380023810294,0.029850057397832395,0.021315446305488636,0.0,1.0,0.0,1.023854374885559
en,pure,en_krishna_007,137.30171902239968,135.54203539244793,542.1000092987916,655.4868185650914,0.034405800134764714,0.04854135417865986,0.0,1.0,0.0,1.0379377603530884
en,pure,en_krishna_008,130.3021188920137,132.79199328446285,555.2225542863085,644.8931536536181,0.03285418236940097,0.02740650298989334,0.0,1.0,0.0,1.0266133546829224
en,pure,en_krishna_009,134.6469772192394,140.22411113943667,553.4490522906723,652.4088790013752,0.03490839453909301,0.06272432959387597,0.0,1.0,0.0,1.0428779125213623
en,pure,en_krishna_010,130.05514332580648,140.05387303807333,637.3769828513222,675.1491017182228,0.02771057168545696,0.029161550027016515,0.0,1.0,0.0,1.0235686302185059
en,pure,en_krishna_011,138.77734991205466,132.01668490649885,590.6857617944623,746.2244615107415,0.03087578463545893,0.04227772803474697,0.0,1.0,0.0,1.0410714149475098
en,pure,en_krishna_012,130.72527455643637,131.24190627900413,554.8022198642471,673.1098031635116,0.031667220879889796,0.022691081386510558,0.0,1.0,0.0,1.0222959518432617
en,pure,en_krishna_013,135.92602728937882,130.10444963470349,733.6896717617335,773.1587092587147,0.04629819660136757,0.02158234462755286,0.0,1.0,0.0,1.2062952518463135
en,pure,en_krishna_014,131.88086512157534,155.6471320180355,534.089301944979,619.9201289471848,0.032849087420324774,0.030836235799864897,0.0,0.0,0.0,1.1071146726608276
en,pure,en_krishna_015,133.4974875585699,133.3076838402254,517.1443048860646,642.6360226990869,0.034892013214846224,0.027794226914924388,0.0,1.0,0.0,1.3473217487335205
en,pure,en_krishna_016,131.06090289794963,134.11932913296656,578.7873567399972,657.4212716891079,0.02969153330661871,0.030309397240021154,0.0,1.0,0.0,1.0465986728668213
en,pure,en_krishna_017,127.66963634384093,145.78574533097603,563.0141436379303,628.455277453537,0.026450492160987625,0.02127071199118231,0.0,1.0,0.0,1.1412526369094849
en,pure,en_krishna_018,126.77136430855755,137.8677318051127,591.0439451989179,562.4404998116441,0.039635315266162256,0.025864548846605474,0.0,1.0,0.0,1.022470474243164
en,pure,en_krishna_019,124.56631568483371,149.97871807574379,676.3938146771492,752.7206226825481,0.027760033024176,0.022855641977614166,0.0,1.0,0.0,1.017177700996399
en,pure,en_krishna_020,124.65072428036801,138.673788363109,668.446851647775,590.8523222238115,0.034877344613002445,0.023084185800617496,0.0,1.0,0.0,1.021077275276184
en,pure,en_krishna_021,127.62356554522522,171.61853979883915,525.3005510705012,1088.1359947358924,0.028858688178491257,0.06703614824476842,1.0,1.0,1.0,1.0492676496505737
en,pure,en_krishna_022,130.26684289883752,140.46874285057498,561.9989003504437,702.1546088370952,0.02028415693397087,0.02655716308427736,0.0,1.0,0.0,1.0228478908538818
