lang,variant,id,f0_ref_mean,f0_syn_mean,F1_ref,F1_syn,jitter_ref,jitter_syn,wer,pesq
jp,original,jp_krishna_001,132.11541470501663,118.0240303178647,587.1061516980789,828.6378880844451,0.029229543736047126,0.05449459316358546,1.0,1.027052402496338
jp,original,jp_krishna_002,131.19017591966002,131.28133257733668,641.275653594587,800.9777975879961,0.03111628771051484,0.04856482067112804,1.0,1.0460772514343262
jp,original,jp_krishna_003,142.7232438971862,162.80395508003966,630.9333931838689,836.3175402974492,0.0345527463467557,0.041907577300493014,1.0,1.2654008865356445
jp,original,jp_krishna_004,123.0496945692795,100.323526184916,635.0709343918297,850.9365390062227,0.03591154882452529,0.029973306099721916,3.0,1.044937252998352
jp,original,jp_krishna_005,139.03430266374951,102.22113853814052,597.4408975703876,792.7145324971963,0.034243611087650117,0.0396388723162468,1.0,1.0918266773223877
jp,original,jp_krishna_006,146.93882599719578,149.0902061588775,650.9508612913236,834.5307713313047,0.026871240034007118,0.01926780354972653,1.0,1.0531187057495117
jp,original,jp_krishna_007,148.95924549015388,137.70131457142975,770.3616168454465,947.1339423732944,0.06256387465168939,0.051524497611539107,2.0,1.033833384513855
jp,original,jp_krishna_008,132.0114459513603,130.39697961911097,617.6578657952184,782.9138982633982,0.03147772070364337,0.026433248733913266,1.0,1.1141602993011475
jp,original,jp_krishna_009,135.97946981232826,117.83705638178286,511.4220161558583,689.5721892767842,0.038799990168518164,0.022224685241926074,1.0,1.0449827909469604
jp,original,jp_krishna_010,135.92887694678586,122.2710146619357,628.8295503868386,774.6523813503298,0.03483678367171489,0.038999322907317766,1.0,1.023528814315796
jp,original,jp_krishna_011,135.56510250337462,128.97709803201315,575.5158124849527,791.8871402929,0.03165805001723364,0.020320894280933727,1.0,1.0897207260131836
jp,original,jp_krishna_012,138.72423503567916,133.0962993126075,731.818763674064,923.1101643374336,0.03236334991703947,0.025708340513066984,5.0,1.0203365087509155
jp,original,jp_krishna_013,141.65087466264308,174.198669361589,740.2217822271842,1022.6349182084031,0.026114264617628925,0.05163024586093813,2.0,1.1695348024368286
jp,original,jp_krishna_014,145.02514595995382,153.27652038674654,571.1151466278527,541.2468663835433,0.0191359635835529,0.01366036398371783,1.0,1.6768807172775269
jp,original,jp_krishna_015,134.62297126261245,119.62435544132877,697.4600354285194,852.7490502939427,0.024644325669326575,0.02990420338361893,1.0,1.0951040983200073
jp,original,jp_krishna_016,135.0831161195463,141.07690307016185,572.6578569256134,570.4307195434018,0.022841413243206297,0.032938687112147216,1.0,1.1097090244293213
jp,original,jp_krishna_017,126.33941281821154,153.7250990359948,494.81770664132864,745.4972804374509,0.02424345498087986,0.023021774614494773,1.0,1.0183956623077393
jp,original,jp_krishna_018,130.5204759379589,172.5762931822212,579.646240075201,682.8690216914672,0.02481795335535536,0.019419244233689754,3.0,1.0557975769042969
